target_id	title	author	year	candidate_count	decision	selected_qid	alternative_qids	confidence	issue_codes	reason	resolution_stage	decision_source	model	prompt_sha256	context_safe_fallback
OL13132146W	The Golden Dog (le Chien D'or): A Romance of the Days of Louis Quinze in Quebec	William Kirby F.R.S.C.	1897	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL1337091W	Three Men and a Maid	P. G. Wodehouse	1922	11	MATCH	Q7736607	[]	high	"[""title_variant""]"	"Q7736607 is the work-level novel by P. G. Wodehouse and explicitly has the alias ""Three Men and a Maid,"" matching the target title."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1337117W	Ukridge	P. G. Wodehouse	1924	10	MATCH	Q7878587	[]	high	[]	Q7878587 exactly matches the target title, author P. G. Wodehouse, and 1924 publication context, and is explicitly identified as the work-level short story collection.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1442156W	The daring young man on the flying trapeze, and other stories	Saroyan, William	1934	10	NO_MATCH		[]	high	"[""wrong_work""]"	None of the supplied candidates represents William Saroyan's 1934 story collection The daring young man on the flying trapeze, and other stories; they are different works or unrelated editions.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1454895W	Chel	Spyri, Johanna	1913	8	NO_MATCH		[]	high	"[""wrong_work""]"	"None of the supplied candidates represents Johanna Spyri's literary work ""Chel"". The exact-title candidates are non-literary name, gene, or disambiguation items, while the Spyri candidates are different works (""Cornelli"" and ""Heidi"")."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL145489W	A Newport aquarelle	Maud Howe Elliott	1883	1	NO_MATCH		[]	high	"[""wrong_work""]"	"The sole candidate is a 1915 biography titled ""Julia Ward Howe,"" coauthored by Maud Howe Elliott and Laura E. Richards. It does not represent the target work ""A Newport aquarelle"" from 1883."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1455038W	Moni the goat boy, and other stories	Spyri, Johanna	1906	3	NO_MATCH		[]	high	"[""wrong_work""]"	All supplied candidates represent Heidi, not the target work Moni the goat boy, and other stories. The candidates therefore do not bibliographically identify the target.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1458276W	To arms!	Tinayre, Marcelle	1918	12	NO_MATCH		[]	high	"[""edition_without_work_item"", ""wrong_work""]"	The target is an English translation of a Marcelle Tinayre work, but none of the supplied candidates identifies that work or its underlying conceptual work. The exact-title candidates are unrelated hymn, oration, march, and disambiguation items; the Tinayre candidates have different titles.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL147978W	The Salem frigate	Jennings, John	1946	12	NO_MATCH		[]	high	"[""wrong_work"", ""author_ambiguity""]"	None of the supplied candidates represents The Salem frigate. They are unrelated comic books, scientific articles, or works by different people named John Jennings; the target's 1946 literary identity is not represented.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL15150144W	Raggedy Ann stories	Johnny Gruelle	1947	8	NO_MATCH		[]	high	"[""wrong_work""]"	"None of the supplied candidates represents the target work titled ""Raggedy Ann stories""; they are distinct Johnny Gruelle works with different titles, including individual Raggedy Ann books."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL15155626W	Walt Disney's Pinocchio	Campbell Grant	1948	5	NO_MATCH		[]	high	"[""wrong_work"", ""adaptation""]"	The target is Campbell Grant's illustrated/adapted literary work, based on the Walt Disney motion picture. The supplied direct-title candidates are soundtrack albums or album releases, while the remaining Campbell Grant item is a different work, so none represents the target.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL151881W	On Christmas Eve	Margaret Wise Brown	1938	9	NO_MATCH		[]	high	"[""wrong_work""]"	"No supplied candidate represents Margaret Wise Brown's literary work ""On Christmas Eve"". The exact-title candidates are a 1914 silent film and Anton Chekhov's 1883 short story, while the Margaret Wise Brown candidates have different titles."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1527021W	The search for the silver city	Otis, James	1893	4	MATCH	Q133544927	[]	high	[]	Exact title and 1893 literary-work match; the candidate identifies James Otis as James Otis Kaler, consistent with the target's catalog-style author form.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1531468W	Eagle-feather	Catherine I. Dodd	1933	3	NO_MATCH		[]	high	"[""wrong_work""]"	"None of the candidates represents the literary work ""Eagle-feather"" by Catherine I. Dodd; they are a football player, a disambiguation page, and an award."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL15381081W	This One Night	Robins, Denise	1942	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL15389642W	This strange adventure	Mary Roberts Rinehart	1929	9	NO_MATCH		[]	high	"[""wrong_work""]"	"None of the supplied candidates represents the target work ""This Strange Adventure"" by Mary Roberts Rinehart; all have different titles and are separate novels, plays, or related works."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL157650W	El capitán Veneno	Pedro Antonio de Alarcón	1894	8	MATCH	Q26269804	[]	high	[]	"Q26269804 is a work-level literary item explicitly titled ""El Capitán Veneno"" and authored by Pedro Antonio de Alarcón, matching the target. The film candidate is a derivative adaptation and is excluded."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL16087053W	The wars of Alexander	Leo	1886	17	NO_MATCH		[]	high	"[""wrong_work"", ""adaptation""]"	Q125101340 represents the Latin Historia de preliis Alexandri Magni, which the target's 1886 alliterative romance was chiefly translated from. It is the source work, not the target literary work, and no candidate represents The Wars of Alexander itself.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1639819W	The world's delight	Fulton Oursler	1929	1	NO_MATCH		[]	high	"[""wrong_work""]"	The supplied candidate is a work-level novel by Fulton Oursler, but its title, “The Phantom of the Fifteenth Floor,” does not match the target “The world's delight,” and no affirmative relation connects them.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL16886256W	The submarine boys and the smugglers	Victor G. Durham	1912	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL1719790W	By the Shores of Silver Lake	Wilder, Laura Ingalls	1924	9	MATCH	Q3427960	[]	high	[]	Q3427960 is a work-level item with the exact title and author Laura Ingalls Wilder. Its 1939 publication date is consistent with the known publication of the novel; the target year appears to be a metadata discrepancy.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL17647354W	Peggy Owen, patriot	Lucy Foster Madison	1910	1	NO_MATCH		[]	high	"[""wrong_work""]"	"The only supplied candidate is the 1904 poem ""The Order of the Smiling Face,"" which does not match the target title ""Peggy Owen, patriot"" despite sharing the author."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL17665927W	Helen Carey	Martha Trent	1918	1	NO_MATCH		[]	high	"[""wrong_work""]"	The sole candidate is Q26047348, an American actress named Helen Carey, not a literary work by Martha Trent.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL17694368W	Stronghand	Aimard, Gustave	1887	7	MATCH	Q124086740	[]	high	[]	The candidate is a work-level literary item titled Stronghand: or, The Noble Revenge by Gustave Aimard. The target's 1887 date is consistent with a later edition of the candidate's 1863 novel.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL17720252W	Without blemish	Jeannette H. Walworth	1886	2	NO_MATCH		[]	high	"[""wrong_work""]"	"Neither candidate has the target title ""Without blemish""; both are different literary works by Jeannette H. Walworth."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1794902W	A Deal In Wheat And Other Stories	Frank Norris	1903	8	MATCH	Q4656353	[]	high	"[""title_variant""]"	Q4656353 is a work-level item by Frank Norris whose title is the expanded variant “A Deal in Wheat and Other Stories of the New and Old West,” matching the target collection.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL18068696W	With Juliet in England	Grace S. Richmond	1907	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL181192W	I can get it for you wholesale	Jerome Weidman	1937	5	NO_MATCH		[]	high	"[""adaptation"", ""wrong_work""]"	The target is Jerome Weidman's 1937 literary work, but the supplied exact-title items are a 1962 musical, a 1951 film, an album, and a disambiguation page. These are derivative or unrelated entities, and the underlying literary work is not supplied.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL183471W	The lost violin	Clara Ingram Judson	1947	2	NO_MATCH		[]	high	"[""wrong_work""]"	"Neither supplied candidate represents ""The lost violin""; both are different literary works by Clara Ingram Judson."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1890316W	Seraph on the Suwanee, a novel	Hurston, Zora Neale.	1948	8	MATCH	Q24255887	[]	high	[]	Work-level item with matching title, author Zora Neale Hurston, and 1948 publication year; the target's 'a novel' wording is descriptive rather than a distinct title.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1937625W	The Uncertain Heart	Robins, Denise	1949	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL1948508W	Five Fall into Adventure	Enid Blyton	1950	10	MATCH	Q5455910	[]	high	[]	Q5455910 exactly matches the target title, author, 1950 publication year, and represents a literary work rather than an edition or derivative.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1952550W	Hellbox	O'Hara, John	1947	33	NO_MATCH		[]	high	"[""wrong_work""]"	No supplied candidate represents the 1947 literary work Hellbox by John O'Hara. Q5707015 is a printing term, while the remaining literary candidates are different works and the other candidates concern unrelated authors.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL1960077W	The town	Conrad Richter	1950	11	MATCH	Q7769769	[]	high	[]	"Q7769769 is the work-level literary item titled ""The Town"" by Conrad Richter, with matching 1950 publication date and author."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL20542159W	Rogue's March	Maristan Chapman	1949	3	NO_MATCH		[]	high	"[""wrong_work""]"	None of the supplied candidates represents the 1949 literary work by Maristan Chapman; they are a 1952 film, a disambiguation page, and a 1999 album.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL205950W	Law and outlaw	Sidgwick, Alfred	1921	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL20658361W	Daughter At Home	Dorothy Phoebe Ansle	1939	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL20802W	Maggie, a child of the streets	Crane, Stephen	1896	10	MATCH	Q3276774	[]	high	"[""title_variant""]"	"Q3276774 is the work-level 1893 novel by Stephen Crane titled ""Maggie: A Girl of the Streets,"" a recognized title variant of the target ""Maggie, a child of the streets."""	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL2103973W	Uncle Piper of Piper's Hill	Tasma	1891	5	MATCH	Q124091073	[]	high	"[""title_variant""]"	Work-level literary item with the matching title variant, and its author Jessie Catherine Couvreur is the writer known by the pseudonym Tasma. The 1889 date is compatible with the target's 1891 edition year.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL211519W	Riders up!	Gerald Beaumont	1922	1	NO_MATCH		[]	high	"[""wrong_work"", ""author_ambiguity""]"	"The only candidate is a 1924 film titled ""Riders Up"" with no connection to Gerald Beaumont, whereas the target is a 1922 literary work. The author's identity is also unresolved among two same-named candidates."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL22065786W	The hermit of the Culebra Mountains, or, The adventures of two schoolboys in the far West	McNeil, Everett	1904	2	NO_MATCH		[]	high	"[""wrong_work""]"	Both candidates are distinct Everett McNeil novels with titles that do not match or clearly represent the target work.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL2254756W	The year of jubilo	Ruth Sawyer	1940	5	NO_MATCH		[]	high	"[""wrong_work""]"	None of the supplied candidates represents The Year of Jubilo; all are different works by Ruth Sawyer with nonmatching titles.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL2340064W	1791: a tale of San Domingo	E. W. Gilliam	1890	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL2340244W	The art of writing & speaking the English language	Sherwin Cody	1903	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL235776W	The perfect tribute	Mary Raymond (Shipman) Andrews	1906	1	NO_MATCH		[]	high	"[""wrong_work""]"	The only candidate is The Whole Family, a collaborative novel that includes Mary Raymond Shipman Andrews as one of several authors, but it does not represent The perfect tribute.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL24293W	The boy Lincoln	William Osborn Stoddard	1905	3	NO_MATCH		[]	high	"[""wrong_work""]"	"All supplied candidates are distinct literary works by William Osborn Stoddard with titles unrelated to ""The boy Lincoln""; none provides affirmative identity evidence for the target."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL2462434W	The Tenant of Wildfell Hall / Agnes Grey	Anne Brontë	1914	5	NO_MATCH		[]	high	"[""wrong_work""]"	The target is a combined volume containing The Tenant of Wildfell Hall and Agnes Grey, while the supplied candidates represent the two constituent novels separately. No candidate represents the combined work itself.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL28382W	Kaleidoscope	Stefan Zweig	1934	14	MATCH	Q5740157	[]	high	"[""title_variant""]"	Q5740157 is a work-level collection of short stories by Stefan Zweig, and “Calidoscopio” is the corresponding title variant of the target “Kaleidoscope.” The 1934 target edition is explicitly by Zweig and translated by Eden and Cedar Paul, consistent with a translated manifestation of this work.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL28596979W	Five Children and It, The Phoenix and the Carpet, and The Story of the Amulet	E. Nesbit	1930	6	NO_MATCH		[]	high	"[""wrong_work""]"	The target is a combined volume containing three distinct novels, while the supplied candidates represent only the individual constituent works. No candidate represents the combined collection itself.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL2957120W	Clara Barton	Augusta Stevenson	1946	5	NO_MATCH		[]	high	"[""wrong_work""]"	All supplied candidates represent a person, settlement, scholarly article, neighborhood, or another person—not the literary work Clara Barton by Augusta Stevenson.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL31807554W	The shortest street	Jean Randall	1937	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL318899W	Ajniḥah al-mutakassirah	Gibran, Kahlil	1912	9	NO_MATCH		[]	high	"[""wrong_work""]"	The target is Kahlil Gibran's 1912 work Ajniḥah al-mutakassirah (The Broken Wings), but none of the supplied candidates represents that work; the candidates are different works or unrelated editions.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32031951W	John Splendid	Neil Munro	1898	10	MATCH	Q124092546	[]	high	"[""title_variant""]"	Q124092546 is a work-level literary item by the correct Neil Munro, with the 1898 publication year and a title beginning with the target title, expanded by its subtitle.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32089695W	Westward ho!, or, The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty, Queen Elizabeth	Charles Kingsley	1882	10	NO_MATCH		[]	high	"[""wrong_work""]"	None of the supplied candidates represents Westward Ho!; they are different works by Charles Kingsley.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32092085W	Little Miss Crosspatch		1898	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL32092942W	Obeying orders and other stories	Brown, E. E.	1880	1	NO_MATCH		[]	high	"[""wrong_work"", ""author_ambiguity""]"	The sole candidate is a 2013 scientific article with an unrelated title and is not the 1880 literary work Obeying orders and other stories. Its E.E. Brown coauthor identity also does not establish the target author's identity.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32093542W	Light on shadowed paths	Arthur, T. S.	1891	10	NO_MATCH		[]	high	"[""wrong_work""]"	None of the supplied candidates has the target title or other affirmative identity evidence; they are different works by Timothy Shay Arthur, with one edition-level item unrelated to the target.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32094477W	Under the snow	Katharine S. Macquoid	1894	13	NO_MATCH		[]	high	"[""wrong_work"", ""missing_metadata""]"	No supplied candidate represents the literary work Under the Snow by Katharine S. Macquoid. The exact-title candidates are an etching, video game, and film, while the author-linked literary works have different titles.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32094618W	A pleasure book for our darlings	John	1882	43	NO_MATCH		[]	high	"[""wrong_work"", ""author_ambiguity""]"	"None of the supplied candidates matches the title ""A pleasure book for our darlings"" or its 1882 literary-work identity. The shortlist consists of unrelated works, scientific articles, biblical texts, and works by ambiguously resolved authors named John."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32096254W	Favourite tales for the nursery		1890	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL32096272W	Mr. Lipscombe's apples	Julia Goddard	1891	9	MATCH	Q124093531	[]	high	[]	Exact title match and matching Julia Goddard authorship identify this work; the 1889 publication date is compatible with the target's 1891 bibliographic year as a later edition or record variation.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32098078W	The children's band, or, The trial of Paul's faith	Isabel Plunket	1890	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL32146508W	The voice	Margaret Deland	1912	11	NO_MATCH		[]	high	"[""wrong_work""]"	No supplied candidate represents Margaret Deland's 1912 literary work The Voice. The exact-title candidate is Gabriel Okara's 1964 novel, while the Margaret Deland candidates are different works.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32629549W	Helbeck of Bannisdale	Ward, Humphry	1898	4	MATCH	Q19572074	[]	high	"[""author_ambiguity""]"	Q19572074 is the work-level literary item for the exact title Helbeck of Bannisdale and matches the 1898 publication year. The target's catalog-style author form likely refers to Mrs Humphry Ward, whose author identity is Mary Augusta Ward; the other Humphry Ward candidate is a different male author.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32849888W	After bread	Henryk Sienkiewicz	1897	8	NO_MATCH		[]	high	"[""edition_or_translation"", ""edition_without_work_item"", ""wrong_work""]"	The target is an English translation titled After bread, explicitly described as combining Za chlebem and Wycieczka do Aten. The only related Sienkiewicz candidate, Q121938011, is a Czech edition titled Za chlebem and does not represent the combined translated work; no suitable work-level item is supplied.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL32873326W	Young Hopeful's schooldays, or, The secret of the seventh oak		1894	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL33119429W	Blindness	Green, Henry	1926	11	MATCH	Q135365642	[]	high	[]	Q135365642 is the 1926 novel Blindness by the English novelist Henry Green, matching the target title, author, year, and work-level literary entity type.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL33121077W	A moment of time	Richard Hughes	1926	24	NO_MATCH		[]	high	"[""wrong_work""]"	"None of the supplied candidates represents the literary work titled ""A moment of time"" by Richard Hughes. The candidates associated with Richard Hughes have different titles, while the remaining items are unrelated works by other people."	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
OL33313504W	The moon conquerors	R. H. Romans	1920	0	NO_MATCH		[]		"[""no_candidate_retrieved""]"		candidate_retrieval	deterministic_no_candidate			False
OL3469691W	Women writers	B. G. MacCarthy	1946	1	NO_MATCH		[]	high	"[""wrong_work""]"	The sole candidate is a profession/concept meaning a woman writer, not the literary work Women writers by B. G. MacCarthy.	llm_judge	gpt-5.6-luna_v6	gpt-5.6-luna	f874df729b47d3948912533f30da3a5735e5f7a16de9faf88be44f95c21127da	False
