journal	year	title	dh_terms	dh_term_occurrences	review_priority	review_candidate_reason	duplicate_count	work_id	doi	manual_class	manual_note
New Literary History	2017	"""Hey! What's the Big Idea?"": Ruminations on the Question of Scale in Intellectual History"	distant reading	1	ordinary_hit		1	https://openalex.org/W2786103434	https://doi.org/10.1353/nlh.2017.0032		
New Literary History	2017	Afterword: Why Big, Why Now?	digital humanities	1	ordinary_hit		1	https://openalex.org/W2786674909	https://doi.org/10.1353/nlh.2017.0039		
New Literary History	2017	Distributed Character: Quantitative Models of the English Stage, 1550–1900	digital humanities	1	ordinary_hit		1	https://openalex.org/W2786433726	https://doi.org/10.1353/nlh.2017.0038		
New Literary History	2017	Tragedy, for Example: Distant Reading and Exemplary Reading (Moretti)	digital humanities; distant reading	3	ordinary_hit		1	https://openalex.org/W2762399625	https://doi.org/10.1353/nlh.2017.0021		
New Literary History	2018	Cosmopolitan Curiosity in an Open City: Notes on Reading Teju Cole by way of Kwame Anthony Appiah	digital humanities	1	ordinary_hit		1	https://openalex.org/W2888169455	https://doi.org/10.1353/nlh.2018.0012		
New Literary History	2021	The Scale of Genre	digital humanities	1	ordinary_hit		1	https://openalex.org/W3193705176	https://doi.org/10.1353/nlh.2021.0012		
New Literary History	2022	A Queer Way of Counting: Bibliography and Computational Approaches to the Queer Novel	text mining	1	ordinary_hit		1	https://openalex.org/W4379410711	https://doi.org/10.1353/nlh.2022.a898334		
New Literary History	2022	But Why Always the Novel? Midrange Reading Samples of Persons and Texts	digital humanities; distant reading	2	ordinary_hit		1	https://openalex.org/W4379410714	https://doi.org/10.1353/nlh.2022.a898321		
New Literary History	2022	Content's Forms	computational literary criticism	1	ordinary_hit		1	https://openalex.org/W4379410729	https://doi.org/10.1353/nlh.2022.a898330		
New Literary History	2022	Doing (Computational) Literary Studies	computational literary studies	1	ordinary_hit		1	https://openalex.org/W4379410757	https://doi.org/10.1353/nlh.2022.a898320		
New Literary History	2022	Our Paratextual Presents, Our Computational Literary Futures	computational literary studies	1	ordinary_hit		1	https://openalex.org/W4379410765	https://doi.org/10.1353/nlh.2022.a898335		
New Literary History	2022	Why Distant Reading Works	digital humanities; distant reading; cultural analytics	5	ordinary_hit		1	https://openalex.org/W4379410780	https://doi.org/10.1353/nlh.2022.a898323		
New Literary History	2023	Introduction, Literary Cybernetics: History, Theory, Post-Disciplinarity	digital humanities	2	ordinary_hit		1	https://openalex.org/W4386890820	https://doi.org/10.1353/nlh.2023.a907164		
Novel	2015	(Re)Born Digital	distant reading	1	ordinary_hit		1	https://openalex.org/W2768474000	https://doi.org/10.1215/00295132-3150413		
Novel	2016	Cultivating a Curriculum	digital humanities; distant reading; macroanalysis	4	ordinary_hit		1	https://openalex.org/W2770096464	https://doi.org/10.1215/00295132-3458438		
Novel	2016	The New Contentism	distant reading	2	ordinary_hit		1	https://openalex.org/W2770286402	https://doi.org/10.1215/00295132-3458357		
Novel	2017	Social Imperatives	distant reading	2	ordinary_hit		1	https://openalex.org/W4236100398	https://doi.org/10.1215/00295132-4150319		
Novel	2019	The Consolation of Critique	distant reading	1	ordinary_hit		1	https://openalex.org/W2942939891	https://doi.org/10.1215/00295132-7330290		
Novel	2020	The Matter of Aesthetic Experience	digital humanities; distant reading	5	ordinary_hit		1	https://openalex.org/W3080289611	https://doi.org/10.1215/00295132-8309641		
Novel	2021	Close Reading on a Global Scale	distant reading	1	ordinary_hit		1	https://openalex.org/W4206205001	https://doi.org/10.1215/00295132-9353971		
Novel	2021	Differences that Make No Difference and Ambiguities that Do	digital humanities	1	ordinary_hit		1	https://openalex.org/W3201304416	https://doi.org/10.1215/00295132-9004657		
Novel	2021	Keywords, Structures of Feeling, and the Novel	distant reading	2	ordinary_hit		1	https://openalex.org/W3177124185	https://doi.org/10.1215/00295132-8868869		
Novel	2021	Literature Counts: The Feelings of <i>Overwhelmed</i>	digital humanities; stylometry	5	review_candidate	italic_metadata	1	https://openalex.org/W3200516564	https://doi.org/10.1215/00295132-9004639		
Novel	2025	Victorians, Digitized	digital humanities	7	ordinary_hit		1	https://openalex.org/W7154450666	https://doi.org/10.1215/00295132-12157330		
PMLA	2010	Rewriting<i>Moby-Dick</i>: Politics, Textual Identity, and the Revision Narrative	digital humanities	1	review_candidate	italic_metadata	1	https://openalex.org/W2087530684	https://doi.org/10.1632/pmla.2010.125.4.1043		
PMLA	2013	Combining Close and Distant Reading: Jonathan Safran Foer's <i>Tree of Codes</i> and the Aesthetic of Bookishness	distant reading	1	review_candidate	italic_metadata	1	https://openalex.org/W2011452321	https://doi.org/10.1632/pmla.2013.128.1.226		
PMLA	2013	The Meaning of the Digital Humanities	digital humanities	11	ordinary_hit		1	https://openalex.org/W2137002059	https://doi.org/10.1632/pmla.2013.128.2.409		
PMLA	2016	Data versus Literature? The Digital Humanities and Literary Studies - Reply	digital humanities	1	duplicate		2	https://openalex.org/W4233253947	https://doi.org/10.1632/pmla.2016.131.5.1557		
PMLA	2016	Data versus Literature? The Digital Humanities and Literary Studies - Reply	digital humanities	1	duplicate		2	https://openalex.org/W3093650657	https://doi.org/10.1632/s0030812900172268		
PMLA	2016	Dawnland Voices 2.0: Sovereignty and Sustainability Online	digital humanities	2	ordinary_hit		1	https://openalex.org/W2515500677	https://doi.org/10.1632/pmla.2016.131.2.392		
PMLA	2016	Ecological Media Studies and the Matter of Digital Technologies	digital humanities	3	ordinary_hit		1	https://openalex.org/W2511525449	https://doi.org/10.1632/pmla.2016.131.2.364		
PMLA	2016	Inscribing Environmental Memory in the Icelandic Sagas and the<i>Icelandic Saga Map</i>	digital humanities	2	review_candidate	italic_metadata	1	https://openalex.org/W2518146495	https://doi.org/10.1632/pmla.2016.131.2.381		
PMLA	2016	Introduction: Assembling the Ecological Digital Humanities	digital humanities	5	ordinary_hit		1	https://openalex.org/W3120931414	https://doi.org/10.1632/pmla.2016.131.2.340		
PMLA	2016	Resource Operations of the Ecological Digital Humanities	digital humanities	1	ordinary_hit		1	https://openalex.org/W2514695220	https://doi.org/10.1632/pmla.2016.131.2.401		
PMLA	2016	Talking French	distant reading	1	ordinary_hit		1	https://openalex.org/W4235218721	https://doi.org/10.1632/pmla.2016.131.5.1489		
PMLA	2016	The Digital Humanities, Inc.: Literary Criticism and the Fate of a Profession	digital humanities	3	ordinary_hit		1	https://openalex.org/W2515883732	https://doi.org/10.1632/pmla.2016.131.2.324		
PMLA	2016	The Ecology of Art-iculation and Aggregate Reading	digital humanities	2	ordinary_hit		1	https://openalex.org/W2516373914	https://doi.org/10.1632/pmla.2016.131.2.356		
PMLA	2017	Algorithm and Analogy: Distant Reading in 1598	distant reading	1	ordinary_hit		1	https://openalex.org/W2766214655	https://doi.org/10.1632/pmla.2017.132.3.643		
PMLA	2017	Beyond Darwinian Distance: Situating Distant Reading in a Feminist <i>Ut Pictura Poesis</i> Tradition	distant reading	3	review_candidate	italic_metadata	1	https://openalex.org/W2756764789	https://doi.org/10.1632/pmla.2017.132.3.659		
PMLA	2017	Franco Moretti as Satirist	distant reading	2	ordinary_hit		1	https://openalex.org/W2766308824	https://doi.org/10.1632/pmla.2017.132.3.681		
PMLA	2017	Franco Moretti: A Response	distant reading	2	ordinary_hit		1	https://openalex.org/W2765821043	https://doi.org/10.1632/pmla.2017.132.3.686		
PMLA	2017	Mid-Range Reading: Not a Manifesto	digital humanities; distant reading	3	ordinary_hit		1	https://openalex.org/W2759867731	https://doi.org/10.1632/pmla.2017.132.3.620		
PMLA	2017	On Disciplinary Finitude	digital humanities	1	ordinary_hit		1	https://openalex.org/W2767114749	https://doi.org/10.1632/pmla.2017.132.3.505		
PMLA	2017	The<i>Doxa</i>of Reading	distant reading	7	review_candidate	italic_metadata	1	https://openalex.org/W2761850657	https://doi.org/10.1632/pmla.2017.132.3.636		
PMLA	2017	Theology Still?	distant reading	4	ordinary_hit		1	https://openalex.org/W4242234473	https://doi.org/10.1632/pmla.2017.132.3.674		
PMLA	2017	Why Distant Reading Isn't	distant reading	2	ordinary_hit		1	https://openalex.org/W2766736723	https://doi.org/10.1632/pmla.2017.132.3.628		
PMLA	2017	“The Figure in the Carpet”	distant reading	1	ordinary_hit		1	https://openalex.org/W2766979173	https://doi.org/10.1632/pmla.2017.132.3.613		
PMLA	2018	Aggregation, Public Criticism, and the History of Reading Big Data	digital humanities; distant reading; macroanalysis	4	ordinary_hit		1	https://openalex.org/W2900451816	https://doi.org/10.1632/pmla.2018.133.5.1207		
PMLA	2018	Editor's Column	digital humanities	2	ordinary_hit		1	https://openalex.org/W2796574576	https://doi.org/10.1632/pmla.2018.133.1.9		
PMLA	2018	Introduction to “How We Write Now”	distant reading	1	ordinary_hit		1	https://openalex.org/W2796720236	https://doi.org/10.1632/pmla.2018.133.1.124		
PMLA	2020	African American Scholars and the Margins of DH	digital humanities	1	ordinary_hit		1	https://openalex.org/W3010064944	https://doi.org/10.1632/pmla.2020.135.1.152		
PMLA	2020	Anthropocene and Empire: Discourse Networks of the Human Record	digital humanities	1	ordinary_hit		1	https://openalex.org/W3009091177	https://doi.org/10.1632/pmla.2020.135.1.110		
PMLA	2020	Categorically Provisional	digital humanities	1	ordinary_hit		1	https://openalex.org/W4229761838	https://doi.org/10.1632/pmla.2020.135.1.165		
PMLA	2020	Dimensions of Scale: Invisible Labor, Editorial Work, and the Future of Quantitative Literary Studies	topic modeling	1	ordinary_hit		1	https://openalex.org/W3009813350	https://doi.org/10.1632/pmla.2020.135.1.23		
PMLA	2020	Media and Cultural Hybridity in the Digital Humanities	digital humanities	2	ordinary_hit		1	https://openalex.org/W3009285214	https://doi.org/10.1632/pmla.2020.135.1.159		
PMLA	2020	Picture This: The Screenshot's Use in Digital Humanities Scholarship	digital humanities	1	ordinary_hit		1	https://openalex.org/W3009147094	https://doi.org/10.1632/pmla.2020.135.1.203		
PMLA	2020	Race and Distant Reading	distant reading	4	ordinary_hit		1	https://openalex.org/W3010059704	https://doi.org/10.1632/pmla.2020.135.1.59		
PMLA	2020	Reading Distance: Port Louis, Cairo, Beijing	distant reading	1	ordinary_hit		1	https://openalex.org/W3115114058	https://doi.org/10.1632/pmla.2020.135.5.859		
PMLA	2020	Situating the Method Debates	distant reading	1	ordinary_hit		1	https://openalex.org/W3117134318	https://doi.org/10.1632/pmla.2020.135.5.1002		
PMLA	2020	Texturing the Digital Humanities: A Manifesto	digital humanities	2	ordinary_hit		1	https://openalex.org/W3010462175	https://doi.org/10.1632/pmla.2020.135.1.74		
PMLA	2020	The Experimental Turn	digital humanities	1	ordinary_hit		1	https://openalex.org/W3010255380	https://doi.org/10.1632/pmla.2020.135.1.180		
PMLA	2020	Toward a Diversity Stack: Digital Humanities and Diversity as Technical Problem	digital humanities	2	ordinary_hit		1	https://openalex.org/W3009972996	https://doi.org/10.1632/pmla.2020.135.1.130		
PMLA	2025	Theorizing Public Digital Humanities: A Model for Collaborative Knowledge Production	digital humanities	1	ordinary_hit		1	https://openalex.org/W4409457449	https://doi.org/10.1632/s0030812925000057		
