work_title	work_author	openalex_id	openalex_url	scholarly_title	publication_year	work_type	language	openalex_topic	match_evidence	abstract_excerpt	llm_visibility_label	final_visibility_label	broad_visibility_include	final_reason	review_status	review_note	model	prompt_version
The Great Gatsby	F. Scott Fitzgerald	W2384816335	https://openalex.org/W2384816335	On Scott Fitzgerald's Feminist Value in The Great Gatsby	2008	article	en	American and British Literature Analysis	title_and_abstract	In The Great Gatsby,the masterpiece of F.Scott Fitzgerald,the patriarchal ideology and misogyny of the narrator Nick are illustrated.To some extent,Nick's prejudice to the female reveals Fitzgerald's position.Indifinite portrayal of female figure's character reflects Fitzgerald's feminist value.	include_substantive	include_substantive	1	Scholarly article offering interpretation of The Great Gatsby’s feminist dimensions and the narrator’s misogyny, i.e., substantive analysis of the work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Great Gatsby	F. Scott Fitzgerald	W632273721	https://openalex.org/W632273721	Understanding F. Scott Fitzgerald's The great gatsby	1988	book	en	American and British Literature Analysis	title_only		include_substantive	include_substantive	1	Record is a secondary scholarly book explicitly focused on interpreting F. Scott Fitzgerald's The Great Gatsby, indicating substantive analysis rather than mere mention or primary text.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Great Gatsby	F. Scott Fitzgerald	W2330985363	https://openalex.org/W2330985363	Robert Beuka, American Icon: Fitzgerald's <i>The Great Gatsby</i> in Critical and Cultural Context (Rochester, NY: Camden House, 2011, £40.00/$75.00). Pp. 162. <scp>isbn</scp>978 1 5711 3371 7.	2012	article	en	American and British Literature Analysis	title_only	An abstract is not available for this content so a preview has been provided. Please use the Get access link above for information on how to access this content.	include_substantive	include_substantive	1	Record is a scholarly article (a book review) of a monograph explicitly about Fitzgerald's The Great Gatsby in critical and cultural context, so it engages with and evaluates scholarship about the target work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Great Gatsby	F. Scott Fitzgerald	W3088711117	https://openalex.org/W3088711117	The Black Skyscraper [Book Review]	2020	article	en	American and British Literature Analysis	abstract_only	A definition of perception as used in the above subtitle might be, “an awareness of the environment through physical sensation.” One becomes aware of something through all five senses. Yet it is “seeing” that is the most compelling when analyzing the relationship between architecture and race, especially, for example, when reexamined in literary works such as F. Scott Fitzgerald’s The Great Gatsby. The author, Adrienne Brown, is a professor who specializes in American and African American cultu…	include_substantive	include_substantive	1	This is a scholarly book review that reports and evaluates a monograph which reexamines and rereads The Great Gatsby in relation to architecture, race, and perception, indicating substantive critical engagement with the work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Great Gatsby	F. Scott Fitzgerald	W4231032578	https://openalex.org/W4231032578	Sacred Land: Sherwood Anderson, Midwestern Modernism, and the Sacramental Vision of Nature	2014	article	en	Poetry Analysis and Criticism	abstract_only	The title of Mark Bueschel's new book does not immediately suggest connections to F. Scott Fitzgerald; however, upon reviewing the table of contents, he does include a chapter that could potentially contribute to underexplored elements of Fitzgerald studies. In “‘A Story of the West, After All’: The Sacramental and Midwestern Pastoral Subtext of F. Scott Fitzgerald's The Great Gatsby,” Bueschel attempts to connect his larger discussion regarding Midwestern pastoral imagery and sacramentalism to…	include_substantive	include_substantive	1	The article is a scholarly review that discusses a chapter explicitly analyzing The Great Gatsby’s sacramental and Midwestern pastoral subtext and how this encourages reconsideration of Fitzgerald’s role—constituting substantive critical engagement with the work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Great Gatsby	F. Scott Fitzgerald	W2498393801	https://openalex.org/W2498393801	The Gun and the Pen	2008	book	en	American and British Literature Analysis	no_exact_phrase	Abstract This book demonstrates that Hemingway, Fitzgerald, and Faulkner were motivated, in their famous postwar books, not by their experiences of the horrors of the war but rather by their failure to have those experiences. These “quintessential” male American novelists of the 1920s were all deemed unsuitable as candidates for full military service or command and the result was that they felt themselves “emasculated”: not, as the usual story goes, because of their encounters with trench warfa…	include_substantive	include_substantive	1	Genuine scholarly book that makes an interpretive claim about Fitzgerald and his postwar fiction (part of the group including Hemingway and Faulkner), linking their motivations to failures in military service.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W2488944639	https://openalex.org/W2488944639	A Touch of the Artist: The Years of Ulysses, 1914–1922	1992	book-chapter	en	Irish and British Studies	title_and_abstract	In Ulysses, the Blooms live at 7 Eccles Street. Joyce came to know the address because he visited J. F. Byrne there, notably on that afternoon and evening, into the night, when Byrne had reassured him about Nora’s loyalty and Cosgrave’s ‘blasted lie’; Byrne lived in the house from 1908 to 1910, with two female cousins. Shortly before Joyce left Dublin in 1909, he visited the house once again, and he and Byrne took a long walk through the streets of Dublin. At one corner, they weighed themselves…	include_substantive	include_substantive	1	Scholarly chapter offers historical/contextual analysis linking real-life people/addresses to Joyce’s fictional characters and scenes, making substantive claims about Ulysses’ composition and sources.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W1549440770	https://openalex.org/W1549440770	The Telemacheia in The Odyssey and Ulysses	1989	article	en	Classical Antiquity Studies	title_and_abstract	After almost twenty years of disciplined, systematic inquiry, scholars and critics have not produced a generally accepted interpretation of James Joyce's use of Homer in Ulysses. Richard Ellmann—whose biographical and critical studies established him as the leading authority on Joyce—recently lamented, after almost forty years of study, that the precise nature and function of the Homeric Parallel remains problematic.	include_substantive	include_substantive	1	Scholarly article explicitly analyzing Joyce's use of Homer and the Homeric parallel in Ulysses, indicating substantive interpretation and debate about the work's structure and meaning.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W1592342177	https://openalex.org/W1592342177	“Szombathely, Vienna, Budapest”: Epic Geography and the Austro-Hungarian Dimension of James Joyce’s &lt;i&gt;Ulysses&lt;/i&gt;	2011	article	en	Giambattista Vico and Joyce	title_and_abstract	“Szombathely, Vienna, Budapest”Epic Geography and the Austro-Hungarian Dimension of James Joyce’s Ulysses Dieter Fuchs (bio) It is well known that James Joyce’s Ulysses transfers the Greek epic of Odysseus to Ireland and the Jewish Diaspora, and that the link between these three cultures is provided by the Jewish Irishman Leopold Bloom, whose movement through Dublin follows the structural pattern of the Homeric Odyssey. In contrast to the scrupulous study of Bloom’s urban migrations within the…	include_substantive	include_substantive	1	Scholarly article offering original analysis of Ulysses’ geography and the Virag/Bloom migrations, positioning the novel within an Austro-Hungarian dimension and making substantive interpretive claims.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W2130968781	https://openalex.org/W2130968781	Book reviews : James Joyce, Ulysses, and the construction of Jewish Identity: culture, biography, and 'the Jew' in modernist Europe By Neil R. Davidson (Cambridge, Cambridge University Press, 1997). 305pp. £35	1998	article	en	Modernist Literature and Criticism	title_only		include_substantive	include_substantive	1	This is a scholarly book review of a monograph explicitly about James Joyce's Ulysses and its construction of Jewish identity, indicating substantive secondary discussion of the work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W3172107920	https://openalex.org/W3172107920	Buck Mulligan as a Grammaticus Gloriosus in Joyce’s Ulysses	1994	article	en	Modernist Literature and Criticism	title_only		include_substantive	include_substantive	1	Scholarly article explicitly analyzes a character in Joyce’s Ulysses, indicating substantive literary interpretation of the target work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W4205501058	https://openalex.org/W4205501058	Synaesthesia	2021	article	en	Multisensory perception and integration	abstract_only	The following entry includes firstly a list of synaesthetic portals, and secondly an initial table of scaled sensory modalities following Felicity Colman’s ‘Fragment of a Modalities Map’ (Colman, 2019, p. 985-987). James Joyce famously begins his ‘Proteus’ chapter of Ulysses with Stephen Dedalus describing the ‘ineluctable modality of the visible’ (Joyce, 1922, p. 37). Synaesthesia presents a phenomenon whereby the modality is not merely ineluctible but is also a portal that can potentially lin…	include_substantive	include_substantive	1	Scholarly article that theorizes synaesthesia and explicitly discusses Joyce’s Proteus chapter and the ‘ineluctable modality of the visible,’ using Ulysses as a substantive example to develop arguments about perception and modality.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W2315163088	https://openalex.org/W2315163088	"All the Dishevelled Wandering Stars: Astronomical Symbolism in ""Ithaca"""	1991	article	en	Shakespeare, Adaptation, and Literary Criticism	abstract_only	Between the reductive alternatives of affirmation and denial, James Joyce negotiates a complex course in the Ithaca episode of Ulysses. The narrative, adopting the objective technique of the scientific method, proposes a series of hypotheses, each of which it tests and partly rejects as a response to the problems posed by the novel. Only in this wreckage of false resolutions can we hope to glimpse the satisfaction of truth.	include_substantive	include_substantive	1	Scholarly article offering substantive analysis of the Ithaca episode of Joyce's Ulysses (astronomical symbolism, narrative technique and hypotheses), so it interprets the target work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
Ulysses	James Joyce	W2549694587	https://openalex.org/W2549694587	Ways to Start Looking at Potential Translation	2016	article	en	Second Language Learning and Teaching	no_exact_phrase	Ways to Start Looking at Potential Translation Pablo Martín Ruiz (bio) Translation and Potentiality I have a peculiar background as a translator. The one major translation (in terms of length) I have done so far is that of a three-hundred-page-long text the author of which is the translator himself: I translated my doctoral dissertation from English into Spanish, which in my case means from a foreign language (in which I originally wrote it) into my native language. It would not be hard to make…	exclude_unrelated	exclude_unrelated	0	The title and abstract discuss translation practice and the author’s experience translating their dissertation; there is no mention or indication of James Joyce or Ulysses being discussed.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W2015478441	https://openalex.org/W2015478441	Controlled/Living Cationic Polymerization of <i>p</i>-Methoxystyrene in Solution and Aqueous Dispersion Using Tris(pentafluorophenyl)borane as a Lewis Acid: Acetonitrile Does the Job	2007	article	en	Synthetic Organic Chemistry Methods	title_only	The living cationic polymerization of p-methoxystyrene using the 1-(4-methoxyphenyl)ethanol/B(C6F5)3 initiating system in solution and in aqueous dispersion is reported. Solution experiments first showed that the molar mass of the obtained polymers increases in direct proportion to the monomer conversion and the molar mass distribution stays narrow in the course of the polymerization (Mw/Mn ∼ 1.2). The living nature of the growing chains was confirmed by sequential monomer addition experiments,…	exclude_unrelated	exclude_unrelated	0	The record is a chemistry research article about cationic polymerization and acetonitrile; it does not discuss Sinclair Lewis's novel The Job.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W2277135061	https://openalex.org/W2277135061	Just the job	2015	article	en	Hungarian Social, Economic and Educational Studies	title_only	Hot 100 Alumni Gareth Brahams, managing partner, BDBF It was a search for autonomy that led Brahams Dutt Badrick French (BDBF) managing partner Gareth Brahams to leave a large employment team at Lewis Silkin and launch an employment practice at litigation boutique Stewarts Law. And it was that same search which, some 10 months after being named in the Hot 100 2012, led Brahams and Hot 100 2011 alumna Arpita Dutt to quit Stewarts with their team to establish BDBF	exclude_unrelated	exclude_unrelated	0	The record is a legal/industry news blurb about lawyers and law firms, not a scholarly discussion of Sinclair Lewis's novel The Job.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W4411523655	https://openalex.org/W4411523655	Austin and Pragmatism	2025	book-chapter	en	Pragmatism in Philosophy and Education	abstract_only	Abstract The influence of C. I. Lewis and C. S. Peirce on Austin is explored in this chapter. The connections between Austin’s theory of speech acts and Peirce’s theory of signs are striking. They both (1) went beyond the traditional distinction between sense and reference, adding an important third thing to meaning: the effects or consequences of expressions; (2) argued that to say something is to do something and that part of the job of the philosopher is to distinguish the different ways of…	exclude_unrelated	exclude_unrelated	0	The chapter is a philosophy piece about J. L. Austin and influences of C. I. Lewis and C. S. Peirce, with no reference to Sinclair Lewis or the novel The Job; it is unrelated to the target literary work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W7043623219	https://openalex.org/W7043623219	Stripper gets new hearing in shooting dispute	2017	other	en	Law, Economics, and Judicial Systems	abstract_only	The quibbling continues over how much a South Carolina stripper should be compensated after being shot while on the job. A South Carolina stripper's won a new hearing to decide how much she should be compensated for being shot on the job.The state Supreme Court ruled that LeAndra Lewis should get a new day in court before the Workers' Compensation Commission to determine her damages.She was shot in 2008 by a stray bullet and wounded in the abdomen after a fight broke out.The high court a couple…	exclude_unrelated	exclude_unrelated	0	News/legal item about a workers' compensation hearing for a stripper; not a scholarly secondary source and unrelated to Sinclair Lewis's novel The Job.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W6984518895	https://openalex.org/W6984518895	vol44no2 156		other	en	Plant pathogens and resistance mechanisms	no_exact_phrase	and finally as Deputy G-2. He retired 1 Feb-ruary\n1962 after over twenty-seven years of\nservice.\nPat's awards and decorations include the\nBronze Star Medal with Oak Leaf Cluster,\nArmy Commendation Medal, American De-fense\nService Medal, American Campaign\nMedal, European - African - Middle Eastern\nMedal with three Bronze Service Stars, World\nWar II Victory Medal, Army of Occupation\nMedal with Germany Clasp, National Defense\nMedal, and the Combat Infantry Badge.\nShortly after retireme…	exclude_unrelated	exclude_unrelated	0	The record is a military/retirement biographical snippet and contains no scholarly discussion or mention of Sinclair Lewis or the novel The Job; it is unrelated to the target literary work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W6993910506	https://openalex.org/W6993910506	vol19no4 78		other	en	Engineering Education and Pedagogy	no_exact_phrase	"with the 2nd Armored Cavalry. CHAR-LIE\nPARKER, recently married, is with\nthe 7th Cavalry. DICK KEATING visited\nBamberg recently as a member of the\ntouring BERLIN baseball team. ED\nREDLINE in Wurzburg has changed\nbranches from the artillery to ordnance.\n""DOC"" BAHNSEN has switched from In-fantry\nto Armor and commands Co. A of\nthe 68th Armored. We were pleased\nto receive a Christmas card from BARB\nand BILL McPEEK who are holding\ndown the island of Puerto Rico. The\nMcPeek's are also a…"	exclude_unrelated	exclude_unrelated	0	Abstract is a personal/military newsletter with no scholarly analysis or any reference to Sinclair Lewis or the novel The Job, so it is unrelated to the target work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W6967887646	https://openalex.org/W6967887646	how to make a pdf a web page	2024	other	en		abstract_only	how to make a pdf a web page Rating: 4.9 / 5 (4806 votes) Downloads: 46869 = = = = = CLICK HERE TO DOWNLOAD = = = = = Create and convert PDFs online, reduce a file size, and more. [1] The basic idea is as follows: We start with a knowledge base, such as a bunch of text documents z_i from Automation & integration · Explore Resources · View Pricing Details · Secure & private sharingTypes: Magazines, Catalogs, Brochures, Tutorials/Guides, Presentations, MenusW2P. StepSelect Print from your browser…	exclude_unrelated	exclude_unrelated	0	Record is a how-to/marketing/tutorial page about converting PDFs to web pages, not a scholarly secondary source about Sinclair Lewis's novel The Job.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
The Job	Sinclair Lewis	W7059270183	https://openalex.org/W7059270183	vol43no1 58		other	en	Magnetic Field Sensors Techniques	no_exact_phrase	1937: The Amoses, Skeletons, Wilhoyts,\nSmalleys, and Comptons.\nDoug and his family, and baby sitting their\ngrandson Evan while Doug and Kris took\nan Hawaiian vacation. They stayed for a\nwhile in Pasadena with friends and took a\nside trip to Sun City, AZ where the Rynear-sons\n'35 had a party for them. Steggy &amp; Ruby\nStegmaier and Sandy Kirsten attended. John\ntalked to Helen Curtis in Phoenix and found\nthat Coy had a successful bout with cancer\nrecently. Forty radioactive pellets im…	exclude_unrelated	exclude_unrelated	0	The record is a personal/newsletter-style item with no scholarly content about Sinclair Lewis or his novel The Job; title and abstract do not reference the work.	llm_as_is		gpt-5-mini	literary_visibility_v3_20260804
