work_key	work_title	work_author	total_candidates	sampling_method	sampling_seed	sampled_n	include_substantive_n	include_mention_n	broad_visibility_include_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	error_n	broad_visibility_rate_among_decided	model	prompt_version
/works/OL63009W	For Whom the Bell Tolls	Ernest Hemingway	249	uniform_reservoir_sampling	20260713	3	3	0	3	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL118986W	Germinal	Emile Zola	194	uniform_reservoir_sampling	20260713	1	0	0	0	0	0	1	0		gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL44368791W	Gulliver's travels	Swift, Jonathan	491	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL42601058W	Hard times	Charles Dickens	315	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL25129727W	Hedda Gabler	Henrik Ibsen	156	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL29305W	Henry James	Leon Edel	144	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL276471W	Henry James	James, Henry	5613	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL88881W	Howards End	E. M. Forster	182	uniform_reservoir_sampling	20260713	2	1	1	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL7906207W	In action	Frederick Britten Austin	60	uniform_reservoir_sampling	20260713	3	0	0	0	1	2	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL15202836W	Josephus	Josephus, Flavius.	2750	uniform_reservoir_sampling	20260713	2	1	0	1	1	0	0	0	0.500	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL20172W	Kim	Kipling, Rudyard	218	uniform_reservoir_sampling	20260713	3	3	0	3	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL118969W	L' argent	Emile Zola	41	uniform_reservoir_sampling	20260713	1	0	0	0	0	0	1	0		gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL82931W	Light in August	William Faulkner	289	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL6700573W	Living Alone	Stella Benson	4	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL18814811W	Looking backward	Bellamy, Edward	106	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL32036014W	Lord Jim	Conrad, Joseph	372	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1124016W	Maria Edgeworth	Edgeworth, Maria	585	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1794911W	McTeague	Frank Norris	73	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1451547W	Michael Kohlhaas	Heinrich von Kleist	101	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL8675756W	Monkey	Wu, Cheng'en	92	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL39349W	Mrs. Dalloway	Virginia Woolf	740	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL275128W	Native Son	Wright, Richard	307	uniform_reservoir_sampling	20260713	3	2	0	2	1	0	0	0	0.667	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL27244253W	New South	Horatio M. Bennett	70	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL505583W	Nightwood	Barnes, Djuna.	131	uniform_reservoir_sampling	20260713	3	1	0	1	1	0	1	0	0.500	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1168083W	Nineteen Eighty-Four	George Orwell	437	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1064049W	Notre-Dame	Victor Hugo	244	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL39360W	Orlando	Virginia Woolf	431	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL509919W	Parade's End	Ford Madox Ford	102	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL503565W	Paz en la guerra	Miguel de Unamuno	27	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL462007W	Peter Pan	J. M. Barrie	241	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL44675271W	Pride and prejudice	Austen, Jane	1029	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL17996804W	Quo vadis?	Henryk Sienkiewicz	53	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL16574029W	Robinson Crusoe	Daniel Defoe	664	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL82925W	Sanctuary	William Faulkner	135	uniform_reservoir_sampling	20260713	2	0	0	0	2	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL82930W	Sartoris	William Faulkner	79	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL17638106W	Sir Gawain and the Green knight	S. O. Andrew	17	uniform_reservoir_sampling	20260713	2	0	0	0	1	0	1	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL81295W	Sons and Lovers	Lawrence, D. H.	299	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL44014215W	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	196	uniform_reservoir_sampling	20260713	2	1	0	1	0	1	0	0	0.500	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL98586W	Summer	Edith Wharton	131	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL468485W	Tender is the Night	F. Scott Fitzgerald	185	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL40434746W	Tess of the D'Urbervilles	Thomas Hardy	504	uniform_reservoir_sampling	20260713	3	2	0	2	1	0	0	0	0.667	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL276470W	The Ambassadors	James, Henry	207	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL7710777W	The American	Dillon, Mary	179	uniform_reservoir_sampling	20260713	2	0	0	0	0	2	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL37277W	The Autobiography of Alice B. Toklas	Gertrude Stein	70	uniform_reservoir_sampling	20260713	3	0	1	1	2	0	0	0	0.333	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL468362W	The Beautiful and Damned	F. Scott Fitzgerald	52	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL98585W	The Custom of the Country	Edith Wharton	65	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL100237W	The Financier	Theodore Dreiser	35	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL35353208W	The Great Gatsby	F. Scott Fitzgerald	858	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL4315764W	The Heavenly Twins	Sarah Grand	32	uniform_reservoir_sampling	20260713	3	1	0	1	1	0	1	0	0.500	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL42236259W	The house of mirth	Edith Wharton	218	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL482892W	The Ides of March	Thornton Wilder	11	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL51141W	The job	Sinclair Lewis	161	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL44622934W	The jungle	Upton Sinclair	104	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL19870W	The Jungle Book	Kipling, Rudyard	83	uniform_reservoir_sampling	20260713	4	0	0	0	2	1	1	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL20642341W	The key	Lee Thayer	31	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL112798W	The marrow of tradition	Charles Waddell Chesnutt	54	uniform_reservoir_sampling	20260713	2	0	0	0	0	2	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL24164W	The master of Ballantrae	Robert Louis Stevenson	23	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL715621W	The odd women	George Gissing	35	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL8193416W	The Picture of Dorian Gray	Oscar Wilde	504	uniform_reservoir_sampling	20260713	1	0	0	0	0	0	1	0		gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1794919W	The Pit	Frank Norris	21	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL276365W	The Portrait of a Lady	James, Henry	396	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1140289W	The promise	Pearl S. Buck	28	uniform_reservoir_sampling	20260713	2	0	0	0	0	2	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL42517032W	The red badge of courage	Crane, Stephen	153	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL39081W	The rescue	Conrad, Joseph	30	uniform_reservoir_sampling	20260713	3	2	1	3	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL27834207W	The Return of the Soldier	Rebecca West	40	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL14864528W	The rise of David Levinsky	Abraham Cahan	24	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL6833332W	The rising	Myrtle Johnston	12	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL455546W	The Scarlet Letter	Lake Education	36	uniform_reservoir_sampling	20260713	2	0	1	1	0	1	0	0	0.500	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL24318597W	The Scarlet Letter	Nathaniel Hawthorne	796	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1253285W	The Scarlet Pimpernel	Orczy, Emmuska Orczy	8	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL39108W	The Secret Agent	Conrad, Joseph	285	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL38827W	The shadow-line	Conrad, Joseph	71	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL62979W	The Sun Also Rises	Ernest Hemingway	416	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL276386W	The Turn of the Screw	James, Henry	280	uniform_reservoir_sampling	20260713	2	1	0	1	1	0	0	0	0.500	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL39316W	The Waves	Virginia Woolf	358	uniform_reservoir_sampling	20260713	1	0	0	0	1	0	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL39575W	The years	Virginia Woolf	199	uniform_reservoir_sampling	20260713	1	0	0	0	0	1	0	0	0.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1217993W	Three soldiers	John Dos Passos	31	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL40252771W	Turn of the Screw	Henry James	280	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL1217995W	U.S.A	John Dos Passos	106	uniform_reservoir_sampling	20260713	2	2	0	2	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL35695219W	Ulysses	James Joyce	2194	uniform_reservoir_sampling	20260713	3	1	0	1	1	0	1	0	0.500	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL5721561W	Vile Bodies	Evelyn Waugh	24	uniform_reservoir_sampling	20260713	1	1	0	1	0	0	0	0	1.000	gpt-5-mini	literary_visibility_v4_heldout150_20260818
/works/OL74504W	White Fang	Jack London	55	uniform_reservoir_sampling	20260713	4	3	0	3	1	0	0	0	0.750	gpt-5-mini	literary_visibility_v4_heldout150_20260818
