filename	sent_idx	sentence
Arnaud 2021.pdf	1	Sign language, he argued, should not translate spoken French literally but stand in direct relation to thought.Withthissalvo,hetookapowerfulpositionagainstthepositions thatabbotsCharles-Micheldel'ÉpéeandRochAmbroiseCucurronSicard put forth in the development of anothersign languagetradition, based on the autonomy of sign language.
Arnaud 2021.pdf	2	This was not a move to be taken lightly, asValadewasessentiallyestablishinghimselfinoppositiontothefirsttwo leaders of the first school to develop pedagogical techniques based on the useofsignlanguage,whichservedasamodelforthedevelopmentofped- agogyforthedeafinEuropeandintheUS.2 Unlessotherwisenoted,alltranslationsaremyown.
Arnaud 2021.pdf	4	RémiValade,EssaisurlaGrammairedulangagenatureldessignesà'usagedesinstituteurs desourds-muetsavecplanchesetfigures(Paris,1854),p.xiii.
Arnaud 2021.pdf	6	InthecontextofthisarticleIavoidusingDeafwithacapitalDbecauseofitsanachro- nisticcharacter.FollowingAnneliesKusters,MaartjeDeMeulder,andDaiO'Brien'sposition intheintroductiontotheirbookInnovationsinDeafStudies:TheRoleofDeafScholars,Ihave decidedtousethetermdeafwithasmalldasthemostinclusivetermthroughoutthearticle, whennoothertermispromptedbythecontext;seeAnneliesKusters,MaartjeDeMeulder, Atthetime,whilediscussingLanguedesSignesFrançaise(LSF),teachers andwritersalloverEuropewerethinkingaboutsignla
Arnaud 2021.pdf	7	"Therenown of these Frenchteachers drewassistants who wantedtolearntheirmethod,oftenwiththesupportoftheirgovernments.3 Oncetrained,theywouldmovebacktotheircountryoforiginandopena school;thisoccurredintheNetherlands,theGermanlands,Italy,andSpain, amongothers,andhadtheeffectofspreadingdel'Épée'ssystemofmethod- ical signs and making it seem universal.4 The link to American Sign Lan- guage (ASL) would turn out to be the strongest of all.5 During a trip to andDaiO'Brien,""InnovationsinDeafStudies:Criti"
Aronowsky 2021.pdf	0	Gas Guzzling Gaia, or: A Prehistory of Climate Change Denialism Leah Aronowsky Introduction Considerthefollowingexcerptfroma1995advertorialpublishedbythe oil and gas conglomerate known today as ExxonMobil: To thosewhothinkindustryandnaturecannotcoexist,wesayshow alittlerespectforMotherNature.Sheisonestronglady,resilientand capableofrejuvenation.Theenvironmentrecoverswellfromboth naturalandman-madedisasters....Doesthisjustifyorlessenthe impactofindustrialpollution?Ofcoursenot.Ourmainpointisthat n
Aronowsky 2021.pdf	1	Comparing ExxonMobil's public messaging with its private reports, Geof- freySupranandNaomiOreskeshaveshownthatadslikethesewerepartof a public relations campaign meant to downplay the risks of climate change, mounted while the company's own scientists were internally sounding the alarm.2Thisessay,however,contendswithadifferentdimensionofthismar- ketingstrategy.Iamconcernedlesswiththesocialorpoliticalendsofadslike 1.
Aronowsky 2021.pdf	2	"QuotedinGeoffreySupranandNaomiOreskes,""AssessingExxonMobil'sClimate ChangeCommunications(1977–2014),""EnvironmentalResearchLetters12,no.8(2017):8."
Aronowsky 2021.pdf	4	"Seeibid.SeealsoKatieJennings,DinoGrandoni,andSusanneRust,""HowExxonWent fromLeadertoSkepticonClimateChangeResearch,""LosAngelesTimes,23Oct.2015, graphics.latimes.com/exxon-research/ thesethanwiththereasoningthatfirstbroughtthemintoexistence.Iwantto know:Bywhatlogicdiditbecomepossibletothinkoftheplanetasanentity ""resilientandcapableofrejuvenation""?Whywasitthecasethatastatement aboutthenaturalworld'sabilitytorestoreitselfinthefaceofpollutants—as having""learnedtocope,""inExxonMobilspeak—madesensetobeg"
Aronowsky 2021.pdf	5	WhatIamafterherearetheconditionsofpossibilityofclimatechangedenial- ism: the epistemicandconceptual conditions that made certainstatements aboutfossilfuels'effectontheclimatenotonlypossiblebutalsoplausible.
Aronowsky 2021.pdf	6	"These are the conditions—the modes of knowledge production and the theoreticalassumptionsabouttheverynatureoftheclimate—thatdefined therangeofpossibilitiesforclimatechangedenialism.Iftheclimatecrisisis adefiningfeatureofcontemporarylife,andif,followingMichelFoucault, societies are implicitly circumscribed by a set of precepts that define ""the limits and forms of the sayable,"" then a study of the historical conditions thatlentlegibilitytodenialismasadiscursivedomainwouldgoalongway towardaprojecto"
Ayers 2021.pdf	1	Bill Ayers 27 April 2020 Yes,yes,I'mteachingmyclassesonZoom(☹).It'sweirdforme,butI've gotit(Ithink),and,againstmywillandbetterjudgment,Ifeelalittlethrill and a burst of relief each time class ends without the internet exploding.
Ayers 2021.pdf	2	I push all the right buttons, issue all the appropriate commands.
Ayers 2021.pdf	4	(☺).Sohereweare,suddenly,allofus:distancelearning,e-learning,online teaching, virtual classrooms—thewhole bewildering turmoil.
Ayers 2021.pdf	5	"I soldier on, necessarilybutnothappily,allthewhilewithanirritatingchorusofcheer- leadersinthebackgroundpushingmeforward:""onlinelearningisanexcel- lent way to increase student engagement and differentiate instruction;"" ""digital tools save time and do the heavy lifting by providing ready to use lesson plans, instructional materials, and assessments;"" ""distance learning can continue delivering instruction without disruption even in events like snowdaysorthe COVID-19pandemic.""EverylineoffendswhatI k"
Ayers 2021.pdf	6	"IwasparticularlyannoyedwhenIsawmyneighborArneDuncan,former SecretaryofEducation,onTVfinding,asalways,asilverlininginthecatas- trophe(after Katrina, youmayremember, hefamously declared thatNew Orleans was now liberated to create a whole new school system from scratch!),thistimeusheringinthepandemicasdressrehearsalforthe""class- roomsofthefuture.""Comeon,Arne—Zoomisnotthefutureofclassroom lifeorteaching.Infact,thatresponsebetraysastaggeringignoranceabout the nature of each."
Ayers 2021.pdf	7	When I saw Arne jogging while on my walk the other S86 Bill Ayers / OK, Zoomer!
Ayers 2021.pdf	8	day, I suppressed the desire to strangle him and, fortunately, remembered thatIcouldn'tgetcloserthansixfeet.
Ayers 2021.pdf	9	"Of course distance learning is nothing new—I took a correspondence course on figure drawing in the 1950s (a bust in my case, although I liked thecoloredpencils)andwastemptedtotakeanotheronbodybuildingof- fered by Charles Atlas (the advertisement in the back of my comic books promised I could transform myself from a ""97-pound weakling"" into a tough guy who would never again allow abullyto kick sandin myface at thebeach—ofcourseIdidn'thaveabeach,butwhatever).Correspondence coursesanddistancelearni"
Ayers 2021.pdf	10	"The""GreatBooksProgram""hasbeenaroundfordecades,andthe""Great Courses,""aseriesofvideoclassesproducedanddistributedbythefor-profit Teaching Company based inChantilly, Virginia, claimsto havedeveloped over seven hundred courses and sold over fourteen million copies—"
Bao 2023.pdf	0	Set Design Thinking and the Art of the Human Weihong Bao Today'scriticalecologyhasledustoseemediaitselfaspartoftheenvi- ronmentoflife.Buthowdidenvironment becomeacategoryof knowledge, amodelofexplanation,andapracticeofpowerthatenablesourmediaeco- logicalcritiqueinthefirstplace?Howdoestheconceptofenvironment— notasanobjectofprotection butasthewaywe perceive andrelate tothe world—interactwithnotionsandpracticesofmedia?Wherecanwelocate thisentwinedhistoryofmedium/environment,andwheredoesthehuman (a
Bao 2023.pdf	1	Onecrucialarea,Iargue,issetdesign,whoseephemeral,almostlow-tech constructofenvironmentilluminatesthesequestionsinsurprisingways.In thisregard,Iexplorethetwindevelopmentsofenvironmentalthinkingand setdesigninearlytwentieth-centuryChina,consideringthemasaproduc- tive and perilous problematic of epistemology, technology, and aesthetics.
Bao 2023.pdf	2	What is especially remarkable about set design in China is that it exceeds its usual confines in film and theater to play a shaping role in industrial and colonial modernity.
Bao 2023.pdf	3	This means that set design is distinct from what we often call scenography, whose history has been traced centuries back invariousculturalcontexts.Instead,setdesignisarathermoderntechnics oforganization,adispositif involvingaestheticandtechnicalarrangements ofhumanandenvironmentwithtremendoussocialconsequences.
Bao 2023.pdf	4	Unlessotherwisenoted,alltranslationsaremyown.
Bao 2023.pdf	5	ThisessayhasbenefitedfromdiscussionsattheCenterforComparativeMediaatColumbia University,theMediaEnvironmentworkinggroup,theWorldmakingreadinggroupatFreie UniversitätBerlin,Ludwig-Maximilians-UniversitätMünchen,andtheSuzyNewhouseCenter fortheHumanities.IthankmycoeditorsDanielMorganandJacobGabouryaswellasthe AsItrytoshow,setdesign'sall-too-human-centeredworldingcastslight ontheunderpinningofourAnthropocene,which,inidentifyinghumanbe- ingsasgeophysicalforcesdetrimentaltonature,apparentlyremainsimpe
Bao 2023.pdf	6	Tweaking intellectual history with aesthetic theoryandpractice,Itaketheconceptualhistoryofenvironment—abroader categorythannature—asbothmaterialandmedialhistorybeyondtheWest inordertoprovideanalternategenealogy.SetdesignseenthroughtheChi- nesecontext,Iargue,providesamodelforthemediumintermsof environ- ment—anopen,evolving,dynamicecology.Thisdynamic,whichchallenges thedyadictopologyoforganismversusenvironment,neverthelessshouldnot beapproachedineuphoricbutincriticalterms.Itinvitesustoattendtoboth
Bao 2023.pdf	7	WhatmakessetdesigninChinainstrumentaltoindustrialandcolonial modernityisitsflourishingattheintersectionbetweendesignandp
Bao et al 2023.pdf	0	Introduction: Medium/Environment Weihong Bao, Jacob Gaboury, and Daniel Morgan Ecological crises provoked by technological transformations under the pressure of capitalism have prompted a move toward new modes of envi- ronmentalthinkingwithinthehumanitiesandsocialsciences.Acriticallo- cus has been media studies, where the environmental quality of media as thatwhich surrounds and connects us—along with the resource-intensive requirements for the production and circulation of media forms—has led t
Bao et al 2023.pdf	1	302 Weihong Bao, Jacob Gaboury, and Daniel Morgan / Introduction livingsystems.Itisaseismicshiftintheconceptualframeofadiscipline,as wellas modernlife,thatposes abasicquestion.Howis itthattheseterms havebecomesobroadlycoconstitutive,andhowdoestheirdialecticalrela- tion transformthe very notionof our contemporary mediaenvironment?
Bao et al 2023.pdf	2	"""Mediadetermineoursituation,""FriedrichKittlerfamouslywrote.1""New media are new environments,"" said Marshall McLuhan.2 Famous phrases, both, and we invoke them here less for their specific claims than for the waytheyinsistthattechnologicalmedianeverstaywithintheirlanes.Theidea thatmediastructureourphysicalandlivedexperiencesisbynomeansanew one, but it has become unavoidable in the wake of the unceasing physical transformations around us."
Bao et al 2023.pdf	3	This has prompted many media scholars to move away from a focus on specific media forms—film, television, radio, andothers—suchthatanyspatialortemporaltechnique—clock,door,ship, architecture,orinfrastructure—maybetakentocountasamediumsolong asitstructuresoursenseofenvironment.3Eventhenotionofenvironment, mu
Barker 2024.pdf	0	"You Have Been Misconnected Meghanne Barker InAugust2019,Jean-PierreMeston,aneighty-six-year-oldParisian,struck upaconversationwithajoliedameonthe46bus.Itturnedouttheyhadbeen bornjustamonthapartandbothhadbattledcancer.Havingfallen""under thecharmofthisprettylady,""Jean-Pierredescendedfromthebuswithout askingforhernameandnumber,whichheimmediatelyregretted.""Iaman idiot,""hewroteafterwardsinalettertoher.Hemadetwenty-fivecopiesand postedthemalongthebusroute.Streetcleanersregularlytorethemdown, butheretu"
Barker 2024.pdf	1	"Personal ads tightly condense within them a personal backstory, even in their articulation of generalized desire.2 Thisarticle focuses onasubcategoryofpersonalsthat isavernacular genre PaulManninggavemetheideaforthispiece,sharedsourcesandideasonthetopic,and offeredindispensablefeedbackasitprogressed.Thisbeganaspartofapanelon""Animating theEveryday""atthe2019AnnualMeetingsoftheAmericanAnthropologicalAssociationin Vancouver,BritishColumbia.Attendeesandcopanelists,alongwithdiscussantSusanLepselter, o"
Barker 2024.pdf	3	"NoëlleLy,""Paris:à86Ans,Jean-PierreRecherchela'JolieDame'Rencontréedansle Bus,""LeParisien,24Aug.2019,www.leparisien.fr/info-paris-ile-de-france-oise/paris-a-86-ans -jean-pierre-recherche-la-jolie-dame-rencontree-dans-le-bus-24-08-2019-8138643.php 2."
Barker 2024.pdf	4	"SeeAlainaLemon,""HermeneuticAlgebra:SolvingforLove,Time/Space,andValuein Putin-EraPersonalAds,""JournalofLinguisticAnthropology18(Sep.2008):236–67."
Barker 2024.pdf	5	"202 Meghanne Barker / You Have Been Misconnected initsownright,narratinganunexpectedmeeting,thefindingofafaceinthe crowdthatstandsoutfromtheothersandthendisappears.Themostwide- spreadform ofsuchtexts appearsonCraigslist,an onlineclassifiedadssite foundedin1995byCraigNewmark,inasectioncalled""MissedConnections."" Craigslistaddedthe""MissedConnections""categoryin2000,whenem- ployeesreportedlynoticedtherecurrenceofthesepostsintheirregularper- sonals section.3 ItwasFridayafternoon,Sept.27,around5:40.You"
Bashkin 2021.pdf	0	The Colonized Semites and the Infectious Disease: Theorizing and Narrativizing 1870–1914 Anti-Semitism in the Levant, Orit Bashkin Overthepastthreeyears,wehavewitnessedanewalliancebetweenJews andMuslimsinanattempttostruggleagainstwhitesupremacyandwhite nationalism.
Bashkin 2021.pdf	1	Since 1948, and especially since 1967, the Arab Israeli conflict hassetapartJewsandMuslimsoverthequestionofPalestineandhaslike- wisedividedtheAmericanLeftitself.1Afterthe2016elections,thisstateof affairschangeddramatically.FromSenatorChuckSchumer,whotearfully protestedPresidentDonaldTrump'stravelbanonresidentsofseveralMus- lim countries, to the rabbi of New York City's Congregation Beit Simchat Torah,SharonKleinbaum,whosesynagogue'sLGBTQmembersappeared inMuslimFridayprayersinashowofsolidarity,Je
