evaluation_id	target_work	openalex_id	record_title	human_label	llm_label	human_binary	llm_binary	binary_correct	exact_label_correct	human_note	llm_reason
OA-F1-013	Heart of Darkness	W4240056867	Sounding the hollow heart of the WestThis essay is dedicated to Alexis. An earlier version of this article, titled ‘Body Politics: Conrad’s Anatomy of Empire in Heart of Darkness’, was first published in Conradiana in 2004. The present article elaborates on several points of contact between my reading of Conrad’s novella and Lacoue-Labarthe’s critique of techne. I am much indebted to Nidesh Lawtoo for the stimulating and friendly exchanges out of which the revised piece grew. : X-rays and the technique de la mortPhilippeLacoue-Labarthe, Phrase (Paris: Christian Bourgois, 2000), 87–8.	include_substantive	include_substantive	include	include	True	True	Book-chapter title and embedded description clearly identify a revised scholarly reading of Heart of Darkness, empire, and technology.	Title and context explicitly present a scholarly essay analyzing Conrad’s novella and its politics/critique, indicating substantive interpretation of Heart of Darkness.
OA-F1-014	Heart of Darkness	W2493376877	The Nigger of the ‘Narcissus’	include_mention	include_substantive	include	include	True	False	The chapter focuses on The Nigger of the Narcissus and briefly situates Heart of Darkness among Conrad's major early works.	Scholarly secondary-source (book chapter) that historicizes Conrad's development and explicitly situates Heart of Darkness as one of his ‘great works’, making a substantive claim about its relation to his earlier novels.
OA-F1-015	Heart of Darkness	W3135605692	Movement, Gesture, and Space in Heart of Darkness and Lord Jim	include_substantive	include_substantive	include	include	True	True	Detailed comparative analysis of gesture, movement, embodiment, and temporality in Heart of Darkness and Lord Jim.	Scholarly article offering a sustained critical reading of Conrad’s Heart of Darkness (and Lord Jim), using phenomenological criticism to analyze gesture, movement, and spatialization in the text.
OA-F1-016	Ulysses	W190456309	JOYCE'S UMBRELLA: THE PATTERN OF CREATED THINGS	include_substantive	include_substantive	include	include	True	True	Uses a specific episode of Ulysses within a sustained argument about Joyce's aesthetics, creation, and recurring imagery.	Scholarly secondary source offering substantive interpretive analysis of a recurring motif across Joyce's works, explicitly tracing occurrences and meanings that include Ulysses (episode three).
OA-F1-017	Ulysses	W2997302628	THE JOYCE-KATEB LITERARY CONNECTION AND ELIOT’S MYTHIC METHOD	include_substantive	include_substantive	include	include	True	True	Explicit comparative and postcolonial reading of Ulysses and Nedjma.	Scholarly article offering comparative literary analysis that explicitly reads James Joyce’s Ulysses through Algerian eyes and makes substantive claims about Joyce’s use of vernacular, carnival/folklore, and the ‘mythic method.’
OA-F1-018	Heart of Darkness	W1509729831	<i>The Evolutionary Imagination in Late-Victorian Novels: An Entangled Bank</i>, by John Glendening	include_substantive	include_substantive	include	include	True	True	Scholarly review substantively summarizes and evaluates the book's evolutionary reading of Heart of Darkness.	This is a scholarly treatment (a book reviewed in an academic article) that explicitly analyzes Heart of Darkness, offering a chapter and ‘careful, nuanced readings’ that place the novel in a thematic and historical argument about evolutionary entanglement.
OA-F1-019	The job	W7040563007	vol51no1 123	exclude_unrelated	exclude_unrelated	exclude	exclude	True	True	Military-academy reunion material; 'the job' and Lewis occur only in unrelated ordinary-name contexts.	The record is a reunion/assembly newsletter about classmates, cruises, and alumni events; it contains no scholarly analysis or mention of Sinclair Lewis or the novel The Job.
OA-F1-020	The Great Gatsby	W2354171953	On the Role of Time in the Novel The Great Gatsby	include_substantive	include_substantive	include	include	True	True	Detailed analysis of time, narrative technique, symbolism, and Gatsby's tragedy.	Scholarly article offering detailed analysis and interpretive claims about The Great Gatsby’s use of time, narrative techniques, symbols, and theme (Gatsby’s tragedy).
OA-F1-021	Ulysses	W7082775686	"Die Funktion der Zitate im ""Ulysses"" von James Joyce"	include_substantive	include_substantive	include	include	True	True	Dissertation title clearly identifies a scholarly study of quotation in Ulysses.	Dissertation-level scholarly work explicitly analyzing the function of quotations in James Joyce's Ulysses, indicating substantive interpretation/analysis of the target work.
OA-F1-022	Heart of Darkness	W4226241225	Memory, Identity and Narrative: Conrad’s &amp;lt;i&amp;gt;Heart of Darkness&amp;lt;/i&amp;gt; and Siegfried Sassoon’s “Glory of Women” as Paradigms and Depositories of British Cultural Memory and Collective Identity	include_substantive	include_substantive	include	include	True	True	Explicit narratological analysis of memory, collective identity, and cultural transmission in Heart of Darkness.	Scholarly article that conducts narratological and cultural-memory analysis of Heart of Darkness, making substantive interpretive claims about the work.
OA-F1-023	Heart of Darkness	W2703851161	THE EVIL OF MODERNITY: JOSEPH CONRAD’S HEARTOF DARKNESS AND FRANCIS FORD COPPOLA’SAPOCALYPSE NOW	include_substantive	include_substantive	include	include	True	True	Article title clearly signals comparative analysis of Heart of Darkness and Apocalypse Now.	Scholarly article comparing and discussing Joseph Conrad’s Heart of Darkness (and its film adaptation Apocalypse Now), indicating substantive analysis and interpretation of the target work.
OA-F1-024	The job	W1973117661	The Dramatic Imagination of Robert Browning: A Literary Life (review)	exclude_unrelated	exclude_unrelated	exclude	exclude	True	True	Review of a Robert Browning biography; 'finish the job' and Scott Lewis are unrelated lexical collisions.	The record is a review of a Robert Browning biography and discusses Browning's life and poetry; it does not mention Sinclair Lewis or The Job and is unrelated to that target work.
OA-F1-025	The job	W2576961557	An Artificial Grammar Investigation into the Mental Encoding of Syntactic Structure	exclude_unrelated	exclude_unrelated	exclude	exclude	True	True	Artificial-grammar and cognitive-science study; 'can do the job' and a Lewis citation are unrelated lexical collisions.	The article is a cognitive/linguistics study of artificial grammar and neural networks with no mention or analysis of Sinclair Lewis’s novel The Job; the metadata concerns syntax, recursion, and neural models, not the literary work.
OA-F1-026	The job	W4399110415	Complexation and disproportionation of group 4 metal (alkoxy) halides with phosphine oxides	exclude_unrelated	exclude_unrelated	exclude	exclude	True	True	Inorganic-chemistry article; 'Job plot' and 'Lewis acids' create an unrelated title-author collision.	The record is a chemistry research article unrelated to Sinclair Lewis's novel; it discusses Group 4 metal halides, complexation, and NMR/DFT studies, not the literary work.
OA-F1-027	The Great Gatsby	W2498393801	The Gun and the Pen	include_substantive	include_substantive	include	include	True	True	The full abstract argues that The Great Gatsby registers and reimagines the social effects of Fitzgerald's failed military ambitions.	"Genuine scholarly book that interprets The Great Gatsby substantively—situates the novel alongside The Sun Also Rises and The Sound and the Fury and argues they ""register and re-imagine"" effects of WWI mobilization and authors' failed military ambitions."
OA-F1-028	Ulysses	W1592342177	“Szombathely, Vienna, Budapest”: Epic Geography and the Austro-Hungarian Dimension of James Joyce’s &lt;i&gt;Ulysses&lt;/i&gt;	include_substantive	include_substantive	include	include	True	True	Detailed analysis of geography, migration, allegory, and Austro-Hungarian contexts in Ulysses.	Scholarly article offering interpretive analysis of Ulysses’ epic geography and the Virag family’s migrations, situating them in Joyce’s intertextual and historical framework—a substantive claim about the work.
OA-F1-029	The Great Gatsby	W2074180021	Materialism And American Dream In F. Scott. Fitzgerald: The Great Gatsby	include_substantive	include_substantive	include	include	True	True	Article title clearly signals interpretive scholarship on materialism and the American Dream in The Great Gatsby.	Title indicates a scholarly article analyzing themes (materialism and the American Dream) in F. Scott Fitzgerald's The Great Gatsby, which constitutes substantive secondary scholarship on the work.
OA-F1-030	The Great Gatsby	W6980282897	421-Book manuscript-8961-1-10-20231221-1.pdf	include_substantive	include_substantive	include	include	True	True	Despite the filename-style title and 'other' record type, the abstract describes sustained scholarly analysis of Gatsby film adaptations.	Scholarly book-length study applying Badiou's concept of fidelity to film adaptations of Fitzgerald's The Great Gatsby and comparing how adaptations handle the novel's prose and themes, thus making substantive claims about the work.
